P(. | Mr) = -0,00224442092245228
P(ravaged | its) = -2,8819549713396
P(battle | its) = -2,8819549713396
P(end | its) = -2,8819549713396
P(six | its) = -2,8819549713396
P(comrades | its) = -2,8819549713396
P(consolidation | its) = -2,8819549713396
P(great | its) = -2,8819549713396
P(home | its) = -2,8819549713396
P(agency | its) = -2,8819549713396
P(embryo | its) = -2,8819549713396
P(nectar | its) = -2,8819549713396
P(stomach | its) = -2,8819549713396
P(larva | its) = -2,8819549713396
P(dispersal | its) = -2,8819549713396
P(average | its) = -2,8819549713396
P(labellum | its) = -2,8819549713396
P(separate | its) = -2,8819549713396
P(hinder | its) = -2,8819549713396
P(parentage | its) = -2,8819549713396
P(flowers | its) = -2,8819549713396
P(nourishment | its) = -2,8819549713396
P(forehead | its) = -2,8819549713396
P(destruction | its) = -2,8819549713396
P(grandfather | its) = -2,8819549713396
P(changed | its) = -2,8819549713396
P(progenitors | its) = -2,8819549713396
P(tall | its) = -2,8819549713396
P(newly | its) = -2,8819549713396
P(generality | its) = -2,8819549713396
P(inimitable | its) = -2,8819549713396
P(existing | its) = -2,8819549713396
P(cell | its) = -2,8819549713396
P(larvae | its) = -2,8819549713396
P(terrestrial | its) = -2,8819549713396
P(resemblance | its) = -2,8819549713396
P(everbranching | its) = -2,8819549713396
P(transitional | its) = -2,8819549713396
P(borders | its) = -2,8819549713396
P(shape | its) = -2,8819549713396
P(flesh | its) = -2,8819549713396
P(work | its) = -2,8819549713396
P(chance | its) = -2,8819549713396
P(drift | its) = -2,8819549713396
P(fur | its) = -2,8819549713396
P(long | its) = -2,8819549713396
P(avicularian | its) = -2,8819549713396
P(mountain | its) = -2,8819549713396
P(shores | its) = -2,8819549713396
P(offspring | its) = -2,8819549713396
P(neck | its) = -2,8819549713396
P(discovery | its) = -2,8819549713396
P(lineal | its) = -2,8819549713396
P(survival | its) = -2,8819549713396
P(reappearance | its) = -2,8819549713396
P(fertilisation | its) = -2,8819549713396
P(viscid | its) = -2,8819549713396
P(marvellous | its) = -2,8819549713396
P(contingencies | its) = -2,8819549713396
P(spheres | its) = -2,8819549713396
P(unaltered | its) = -2,8819549713396
P(huge | its) = -2,8819549713396
P(geological | its) = -2,8819549713396
P(successive | its) = -2,8819549713396
P(peculiar | its) = -2,8819549713396
P(imbedded | its) = -2,8819549713396
P(largest | its) = -2,8819549713396
P(nutriment | its) = -2,8819549713396
P(extermination | its) = -2,8819549713396
P(diminution | its) = -2,8819549713396
P(productions | its) = -2,8819549713396
P(introduction | its) = -2,8819549713396
P(slow | its) = -2,8819549713396
P(confines | its) = -2,8819549713396
P(propagation | its) = -2,8819549713396
P(bones | its) = -2,8819549713396
P(qualities | its) = -2,8819549713396
P(plumage | its) = -2,8819549713396
P(progenitor | its) = -2,8819549713396
P(production | its) = -2,8819549713396
P(very | its) = -2,8819549713396
P(parts | its) = -2,8819549713396
P(upper | its) = -2,8819549713396
P(growth | its) = -2,8819549713396
P(oesophagus | its) = -2,8819549713396
P(physical | its) = -2,8819549713396
P(limbs | its) = -2,8819549713396
P(class | its) = -2,8819549713396
P(rarity | its) = -2,8819549713396
P(dissolved | its) = -2,8819549713396
P(members | its) = -2,8819549713396
P(entire | its) = -2,8819549713396
P(crop | its) = -2,8819549713396
P(dark | its) = -2,8819549713396
P(glasses | its) = -2,8819549713396
P(eyes | its) = -2,8819549713396
P(purity | its) = -2,8819549713396
P(acorns | its) = -2,8819549713396
P(variation | its) = -2,8819549713396
P(several | of) = -2,88406674967851
P(compete | to) = -2,8843907291653
P(fill | to) = -2,8843907291653
P(natural | to) = -2,8843907291653
P(work | to) = -2,8843907291653
P(enter | to) = -2,8843907291653
P(understand | to) = -2,8843907291653
P(reach | to) = -2,8843907291653
P(such | to) = -2,8843907291653
P(very | to) = -2,8843907291653
P(compare | to) = -2,8843907291653
P(cause | to) = -2,8843907291653
P(lay | to) = -2,8843907291653
P(raise | to) = -2,8843907291653
P(form | to) = -2,8843907291653
P(different | to) = -2,8843907291653
P(resist | to) = -2,8843907291653
P(resemble | to) = -2,8843907291653
P(colour | in) = -2,88632954703669
P(form | in) = -2,88632954703669
P(great | in) = -2,88632954703669
P(Switzerland | in) = -2,88632954703669
P(thickness | in) = -2,88632954703669
P(plants | in) = -2,88632954703669
P(almost | in) = -2,88632954703669
P(life | in) = -2,88632954703669
P(opposition | in) = -2,88632954703669
P(shape | in) = -2,88632954703669
P(being | in) = -2,88632954703669
P(habits | in) = -2,88632954703669
P(other! | each) = -2,88817949391833
P(with | each) = -2,88817949391833
P(Country | each) = -2,88817949391833
P(selected | each) = -2,88817949391833
P(layer | each) = -2,88817949391833
P(letter | each) = -2,88817949391833
P(improvement | each) = -2,88817949391833
P(takes | each) = -2,88817949391833
P(tongue | each) = -2,88817949391833
P(sphere | each) = -2,88817949391833
P(quarter | each) = -2,88817949391833
P(cabbage | each) = -2,88817949391833
P(animal | each) = -2,88817949391833
P(organ | each) = -2,88817949391833
P(tries | each) = -2,88817949391833
P(plant | each) = -2,88817949391833
P(exists | each) = -2,88817949391833
P(, | each) = -2,88817949391833
P(old | each) = -2,88817949391833
P(existed | each) = -2,88817949391833
P(little | each) = -2,88817949391833
P(hexagonal | each) = -2,88817949391833
P(flat | each) = -2,88817949391833
P(been | each) = -2,88817949391833
P(should | each) = -2,88817949391833
P(better | each) = -2,88817949391833
P(subordinate | each) = -2,88817949391833
P(was | each) = -2,88817949391833
P(eminently | each) = -2,88817949391833
P(probably | each) = -2,88817949391833
P(modified | each) = -2,88817949391833
P(domestic | each) = -2,88817949391833
P(thousand | each) = -2,88817949391833
P(fully | each) = -2,88817949391833
P(lives | each) = -2,88817949391833
P(equine | each) = -2,88817949391833
P(can | each) = -2,88817949391833
P(page | each) = -2,88817949391833
P(useful | each) = -2,88817949391833
P(stratum | each) = -2,88817949391833
P(having | each) = -2,88817949391833
P(structure | each) = -2,88817949391833
P(varying | each) = -2,88817949391833
P(well | each) = -2,88817949391833
P(mental | each) = -2,88817949391833
P(a | each) = -2,88817949391833
P(question | each) = -2,88817949391833
P(land | each) = -2,88817949391833
P(or | each) = -2,88817949391833
P(section | each) = -2,88817949391833
P(squirrel | each) = -2,88817949391833
P(may | each) = -2,88817949391833
P(author | each) = -2,88817949391833
P(within | each) = -2,88817949391833
P(line | each) = -2,88817949391833
P(in | each) = -2,88817949391833
P(remained | each) = -2,88817949391833
P(joint | each) = -2,88817949391833
P(succeeding | each) = -2,88817949391833
P(recurring | each) = -2,88817949391833
P(shall | each) = -2,88817949391833
P(underwent | each) = -2,88817949391833
P(branch | each) = -2,88817949391833
P(kingdom | each) = -2,88817949391833
P(shoot | each) = -2,88817949391833
P(depends | each) = -2,88817949391833
P(place | each) = -2,88817949391833
P(single | each) = -2,88817949391833
P(newly | each) = -2,88817949391833
P(more | each) = -2,88817949391833
P(would | each) = -2,88817949391833
P(geological | each) = -2,88817949391833
P(confined | each) = -2,88817949391833
P(annually | each) = -2,88817949391833
P(will | each) = -2,88817949391833
P(being's | each) = -2,88817949391833
P(fauna | each) = -2,88817949391833
P(race | each) = -2,88817949391833
P(jaw | each) = -2,88817949391833
P(isolated | each) = -2,88817949391833
P(large | each) = -2,88817949391833
P(which | each) = -2,88817949391833
P(at | each) = -2,88817949391833
P(mountain | each) = -2,88817949391833
P(complex | each) = -2,88817949391833
P(were | and) = -2,89382338596467
P(lastly | and) = -2,89382338596467
P(pistils | and) = -2,89382338596467
P(afterwards | and) = -2,89382338596467
P(another | and) = -2,89382338596467
P(Europe | and) = -2,89382338596467
P(one | and) = -2,89382338596467
P(genera | and) = -2,89382338596467
P(reach | may) = -2,89542254603941
P(claim | may) = -2,89542254603941
P(start | may) = -2,89542254603941
P(now | may) = -2,89542254603941
P(plainly | may) = -2,89542254603941
P(arise | may) = -2,89542254603941
P(all | may) = -2,89542254603941
P(endure | may) = -2,89542254603941
P(come | may) = -2,89542254603941
P(appear | may) = -2,89542254603941
P(justly | may) = -2,89542254603941
P(disbelieve | may) = -2,89542254603941
P(readily | may) = -2,89542254603941
P(extend | may) = -2,89542254603941
P(we | may) = -2,89542254603941
P(by | may) = -2,89542254603941
P(further | may) = -2,89542254603941
P(overlook | may) = -2,89542254603941
P(or | may) = -2,89542254603941
P(recall | may) = -2,89542254603941
P(get | may) = -2,89542254603941
P(exist | may) = -2,89542254603941
P(present | may) = -2,89542254603941
P(urge | may) = -2,89542254603941
P(for | may) = -2,89542254603941
P(digress | may) = -2,89542254603941
P(probably | may) = -2,89542254603941
P(summon | may) = -2,89542254603941
P(mark | may) = -2,89542254603941
P(perish | may) = -2,89542254603941
P(predict | may) = -2,89542254603941
P(simultaneously | may) = -2,89542254603941
P(of | may) = -2,89542254603941
P(advance | may) = -2,89542254603941
P(console | may) = -2,89542254603941
P(venture | may) = -2,89542254603941
P(in | may) = -2,89542254603941
P(gain | may) = -2,89542254603941
P(determine | may) = -2,89542254603941
P(wish | may) = -2,89542254603941
P(repeat | may) = -2,89542254603941
P(lie | may) = -2,89542254603941
P(quote | may) = -2,89542254603941
P(cause | may) = -2,89542254603941
P(possess | may) = -2,89542254603941
P(err | may) = -2,89542254603941
P(specify | may) = -2,89542254603941
P(methodically | may) = -2,89542254603941
P(more | may) = -2,89542254603941
P(modify | may) = -2,89542254603941
P(subsequently | may) = -2,89542254603941
P(constitute | may) = -2,89542254603941
P(instance | may) = -2,89542254603941
P(illustrate | may) = -2,89542254603941
P(fairly | may) = -2,89542254603941
P(compare | may) = -2,89542254603941
P(incidentally | may) = -2,89542254603941
P(truly | may) = -2,89542254603941
P(trust | may) = -2,89542254603941
P(use | may) = -2,89542254603941
P(state | may) = -2,89542254603941
P(live | may) = -2,89542254603941
P(remark | may) = -2,89542254603941
P(perfectly | may) = -2,89542254603941
P(account | may) = -2,89542254603941
P(cease | may) = -2,89542254603941
P(say | may) = -2,89542254603941
P(change | may) = -2,89542254603941
P(confidently | may) = -2,89542254603941
P(always | may) = -2,89542254603941
P(seldom | may) = -2,89542254603941
P(they | may) = -2,89542254603941
P(leave | may) = -2,89542254603941
P(long | may) = -2,89542254603941
P(assume | may) = -2,89542254603941
P(ultimately | may) = -2,89542254603941
P(pass | may) = -2,89542254603941
P(elsewhere | may) = -2,89542254603941
P(fertilise | may) = -2,89542254603941
P(fancifully | may) = -2,89542254603941
P(then | may) = -2,89542254603941
P(reveal | may) = -2,89542254603941
P(proceed | may) = -2,89542254603941
P(isolated | many) = -2,89597473235906
P(habitual | many) = -2,89597473235906
P(thousand | many) = -2,89597473235906
P(works | many) = -2,89597473235906
P(thousands | many) = -2,89597473235906
P(co | many) = -2,89597473235906
P(exceptions | many) = -2,89597473235906
P(outlying | many) = -2,89597473235906
P(beetles | many) = -2,89597473235906
P(pelargoniums | many) = -2,89597473235906
P(descendants | many) = -2,89597473235906
P(related | many) = -2,89597473235906
P(foxes | many) = -2,89597473235906
P(admirable | many) = -2,89597473235906
P(swarms | many) = -2,89597473235906
P(Compositae | many) = -2,89597473235906
P(gradations | many) = -2,89597473235906
P(morphological | many) = -2,89597473235906
P(excellent | many) = -2,89597473235906
P(sheep | many) = -2,89597473235906
P(well | many) = -2,89597473235906
P(objections | many) = -2,89597473235906
P(long | many) = -2,89597473235906
P(an | many) = -2,89597473235906
P(readers | many) = -2,89597473235906
P(fine | many) = -2,89597473235906
P(parasitic | many) = -2,89597473235906
P(will | many) = -2,89597473235906
P(entomologists | many) = -2,89597473235906
P(philosophers | many) = -2,89597473235906
P(variations | many) = -2,89597473235906
P(Crustacea | many) = -2,89597473235906
P(predecessors | many) = -2,89597473235906
P(ants | many) = -2,89597473235906
P(ova | many) = -2,89597473235906
P(terrestrial | many) = -2,89597473235906
P(places | many) = -2,89597473235906
P(creatures | many) = -2,89597473235906
P(regions | many) = -2,89597473235906
P(, | many) = -2,89597473235906
P(whole | many) = -2,89597473235906
P(papilionaceous | many) = -2,89597473235906
P(now | many) = -2,89597473235906
P(authors | many) = -2,89597473235906
P(existing | many) = -2,89597473235906
P(fully | many) = -2,89597473235906
P(independent | many) = -2,89597473235906
P(divergent | many) = -2,89597473235906
P(days | many) = -2,89597473235906
P(quite | many) = -2,89597473235906
P(identical | many) = -2,89597473235906
P(black | many) = -2,89597473235906
P(insular | many) = -2,89597473235906
P(mutations | many) = -2,89597473235906
P(aboriginally | many) = -2,89597473235906
P(social | many) = -2,89597473235906
P(inherited | many) = -2,89597473235906
P(fishes | many) = -2,89597473235906
P(self | many) = -2,89597473235906
P(male | many) = -2,89597473235906
P(trees | many) = -2,89597473235906
P(must | many) = -2,89597473235906
P(dominant | many) = -2,89597473235906
P(leaves | many) = -2,89597473235906
P(transitional | many) = -2,89597473235906
P(causes | many) = -2,89597473235906
P(vertebrae | many) = -2,89597473235906
P(Of | many) = -2,89597473235906
P(volcanic | many) = -2,89597473235906
P(unknown | many) = -2,89597473235906
P(succulent | many) = -2,89597473235906
P(small | many) = -2,89597473235906
P(perfectly | many) = -2,89597473235906
P(true | many) = -2,89597473235906
P(extensive | many) = -2,89597473235906
P(people | many) = -2,89597473235906
P(stamens | many) = -2,89597473235906
P(purposes | many) = -2,89597473235906
P(analogous | many) = -2,89597473235906
P(centuries | many) = -2,89597473235906
P(appear | many) = -2,89597473235906
P(smaller | many) = -2,89597473235906
P(legs | many) = -2,89597473235906
P(believe | many) = -2,89597473235906
P(beings | many) = -2,89597473235906
P(Molluscae | many) = -2,89597473235906
P(segments | many) = -2,89597473235906
P(bodily | many) = -2,89597473235906
P(North | many) = -2,89597473235906
P(old | many) = -2,89597473235906
P(even | many) = -2,89597473235906
P(living | many) = -2,89597473235906
P(remarkable | many) = -2,89597473235906
P(mysterious | many) = -2,89597473235906
P(twigs | many) = -2,89597473235906
P(good | many) = -2,89597473235906
P(formations | many) = -2,89597473235906
P(lost | many) = -2,89597473235906
P(hermaphrodite | many) = -2,89597473235906
P(statements | many) = -2,89597473235906
P(races | many) = -2,89597473235906
P(groups | many) = -2,89597473235906
P(dung | many) = -2,89597473235906
P(hybrids | many) = -2,89597473235906
P(hundred | many) = -2,89597473235906
P(departing | many) = -2,89597473235906
P(British | many) = -2,89597473235906
P(quadrupeds | many) = -2,89597473235906
P(invaders | many) = -2,89597473235906
P(degrees | many) = -2,89597473235906
P(diverging | many) = -2,89597473235906
P(previous | many) = -2,89597473235906
